"Router Name","Local IP","WAN IP","City","ISP Provider","Business Name"
"orlando-router-3","192.168.38.1","100.87.222.84","Orlando","RCN","Bridgeway Behavioral Health"
"atlanta-router-3","192.168.65.1","100.143.250.20","Atlanta","Mediacom","Hope Behavioral Health Center"
"chicago-router-4","192.168.58.1","100.156.200.180","Chicago","Frontier","New Horizons Counseling"
"milwaukee-router","192.168.34.1","100.6.67.59","Milwaukee","RCN","Tranquil Minds Therapy"
"pittsburgh-router-3","192.168.95.1","100.39.182.17","Pittsburgh","Cox Communications","Bridgeway Behavioral Health"
"orlando-router-4","192.168.88.1","100.171.216.214","Orlando","CenturyLink","Safe Haven Support Services"
"baltimore-router-3","192.168.52.1","100.162.255.130","Baltimore","CenturyLink","Bridgeway Behavioral Health"
"chicago-router-5","192.168.73.1","100.186.33.189","Chicago","CenturyLink","Safe Haven Support Services"
"portland-router-3","192.168.44.1","100.81.39.228","Portland","CenturyLink","New Horizons Counseling"
"indianapolis-router","192.168.87.1","100.130.97.37","Indianapolis","Comcast Business","Safe Haven Support Services"
"atlanta-router-4","192.168.60.1","100.104.96.15","Atlanta","Windstream","Bridgeway Behavioral Health"
"chicago-router-6","192.168.85.1","100.177.184.203","Chicago","Spectrum","Safe Haven Support Services"
"atlanta-router-5","192.168.5.1","100.130.51.150","Atlanta","Verizon Fios","Safe Haven Support Services"
"indianapolis-router-2","192.168.23.1","100.26.248.116","Indianapolis","RCN","Community Wellness Clinic"
"charlotte-router-2","192.168.83.1","100.210.187.39","Charlotte","Windstream","Lifeline Health Solutions"
"austin-router","192.168.54.1","100.229.221.16","Austin","AT&T Fiber","Community Wellness Clinic"
"neworleans-router","192.168.35.1","100.101.163.216","New Orleans","Frontier","Family Support Network"
"indianapolis-router-3","192.168.14.1","100.61.241.70","Indianapolis","Mediacom","Empower Health Group"
"kansascity-router-3","192.168.18.1","100.213.53.114","Kansas City","Verizon Fios","Lifeline Health Solutions"
"pittsburgh-router-4","192.168.47.1","100.51.16.66","Pittsburgh","Windstream","Tranquil Minds Therapy"
"cincinnati-router-3","192.168.19.1","100.47.16.225","Cincinnati","Windstream","Community Wellness Clinic"
"tampa-router","192.168.6.1","100.238.202.85","Tampa","Mediacom","Family Support Network"
"st.louis-router-2","192.168.40.1","100.229.100.44","St. Louis","Frontier","Lifeline Health Solutions"
"chicago-router-7","192.168.94.1","100.169.222.238","Chicago","Mediacom","Safe Haven Support Services"
"cleveland-router-2","192.168.51.1","100.248.116.86","Cleveland","Cox Communications","Lifeline Health Solutions"
"atlanta-router-6","192.168.9.1","100.170.246.153","Atlanta","RCN","Tranquil Minds Therapy"
"detroit-router-4","192.168.26.1","100.111.254.235","Detroit","Windstream","Safe Haven Support Services"
"austin-router-2","192.168.11.1","100.71.182.54","Austin","Mediacom","New Horizons Counseling"
"st.louis-router-3","192.168.59.1","100.84.179.88","St. Louis","Frontier","Empower Health Group"
"columbus-router-4","192.168.42.1","100.238.155.58","Columbus","Verizon Fios","Safe Haven Support Services"
"orlando-router-5","192.168.75.1","100.54.154.120","Orlando","RCN","New Horizons Counseling"
"pittsburgh-router-5","192.168.82.1","100.61.181.154","Pittsburgh","RCN","Empower Health Group"
"kansascity-router-4","192.168.96.1","100.233.164.76","Kansas City","Mediacom","Safe Haven Support Services"
"kansascity-router-5","192.168.72.1","100.20.206.77","Kansas City","Spectrum","Lifeline Health Solutions"
"columbus-router-5","192.168.64.1","100.179.251.68","Columbus","Mediacom","Bridgeway Behavioral Health"
"boston-router","192.168.89.1","100.49.194.161","Boston","RCN","Community Wellness Clinic"
"sanjose-router-2","192.168.29.1","100.98.252.71","San Jose","Comcast Business","Hope Behavioral Health Center"
"cincinnati-router-4","192.168.43.1","100.47.51.197","Cincinnati","Mediacom","Community Wellness Clinic"
"charlotte-router-3","192.168.78.1","100.221.56.139","Charlotte","CenturyLink","Hope Behavioral Health Center"
"nashville-router-2","192.168.48.1","100.89.16.33","Nashville","Mediacom","Hope Behavioral Health Center"
"saltlakecity-router-3","192.168.10.1","100.125.228.91","Salt Lake City","Frontier","Tranquil Minds Therapy"
"dallas-router-2","192.168.90.1","100.39.130.28","Dallas","Verizon Fios","Bridgeway Behavioral Health"
"pittsburgh-router-6","192.168.2.1","100.82.94.145","Pittsburgh","Windstream","Safe Haven Support Services"
"austin-router-3","192.168.46.1","100.199.212.10","Austin","Frontier","Pathways Recovery Services"
"saltlakecity-router-4","192.168.24.1","100.25.192.103","Salt Lake City","Verizon Fios","Pathways Recovery Services"
"dallas-router-3","192.168.62.1","100.165.160.105","Dallas","Mediacom","Family Support Network"
"neworleans-router-2","192.168.7.1","100.177.62.131","New Orleans","RCN","Pathways Recovery Services"
"baltimore-router-4","192.168.84.1","100.73.200.157","Baltimore","AT&T Fiber","Bridgeway Behavioral Health"
"indianapolis-router-4","192.168.71.1","100.64.93.181","Indianapolis","Spectrum","Empower Health Group"
"indianapolis-router-5","192.168.3.1","100.216.173.252","Indianapolis","Mediacom","Lifeline Health Solutions"
"cincinnati-router-5","192.168.77.1","100.87.197.253","Cincinnati","Cox Communications","Hope Behavioral Health Center"
"saltlakecity-router-5","192.168.31.1","100.127.136.25","Salt Lake City","AT&T Fiber","Lifeline Health Solutions"
"chicago-router-8","192.168.28.1","100.44.14.247","Chicago","Spectrum","New Horizons Counseling"
"sandiego-router-3","192.168.15.1","100.98.86.59","San Diego","Spectrum","New Horizons Counseling"
"st.louis-router-4","192.168.70.1","100.238.171.166","St. Louis","RCN","Tranquil Minds Therapy"
"boston-router-2","192.168.99.1","100.173.54.149","Boston","Frontier","Hope Behavioral Health Center"
"tampa-router-2","192.168.12.1","100.55.254.107","Tampa","Cox Communications","Pathways Recovery Services"
"milwaukee-router-2","192.168.25.1","100.188.212.240","Milwaukee","Frontier","Lifeline Health Solutions"
